n,p
13,2.003931714022913e-06
14,0.00033666052795584936
15,0.000138271288267581
16,0.0003767391622363076
17,0.0010600798767181209
18,0.004178197623737774
19,0.0017013380252054531
20,0.003224326127862867
21,0.0054847611012807124
22,0.0067392223542590566
23,0.012464455261222519
24,0.010025670365256634
25,0.008901464673689779
26,0.00852272157973945
27,0.01783098439137588
28,0.01097954186113154
29,0.01395137259302752
30,0.014121706788719468
31,0.020872952733262663
32,0.016510393391834778
33,0.024532132043068502
34,0.038383308050394874
35,0.05246092834140584
36,0.06480715163150101
37,0.07176279861087453
38,0.07751007476669225
39,0.08003903658978917
40,0.08214717275294127
41,0.07570252836064359
42,0.06593135732306786
43,0.05271943553251479
44,0.03912275885286933
45,0.027171310110436678
46,0.018558411603566197
47,0.012634789456914467
48,0.008751169795138061
49,0.005863504195231043
50,0.0041822054871658194
51,0.003344562030704242
52,0.0030900627030233316
53,0.0026632252479364513
54,0.0026371741356541537
55,0.0025029107108146182
56,0.002140199070576471
57,0.00184361717690108
58,0.0014809055366629327
59,0.0012765045018325956
60,0.0013907286095319017
61,0.0013165831361130538
62,0.0015370156246555743
63,0.0015289998977994826
64,0.0014067600632440848
65,0.0012163865504119082
66,0.0008917496127401963
67,0.0005911598556367593
68,0.0005130065187898658
69,0.000344676254811941
70,0.00022844821539861208
71,0.00019638530797424548
72,0.00014829094683769555
73,0.00019037351283217674
74,0.00014628701512367265
75,0.00015630667369378722
76,0.00018235778597608507
77,0.0002324560788266579
78,0.000230452147112635
79,0.0002645189862510245
80,0.0003086054839595286
81,0.0003045976205314828
82,0.0004108060013746972
83,0.000368723435380216
84,0.00030259368881745987
85,0.0002905700985333224
86,0.0001883695811181538
87,0.00017434205911999343
88,0.00012624769798344352
89,9.41847905590769e-05
90,8.416513198896234e-05
91,7.013760999080195e-05
92,5.8114019706664475e-05
93,9.2180858845054e-05
94,0.0001402752199816039
95,0.00013626735655355808
96,0.00014628701512367265
97,0.00013626735655355808
98,0.00014628701512367265
99,0.00010420444912919147
100,0.00011222017598528313
101,6.412581484873322e-05
102,7.61494051328707e-05
103,8.817299541700817e-05
104,0.0001402752199816039
105,0.00017634599083401635
106,0.00027253471310711617
107,0.0002444796691107954
108,0.0002785465082491849
109,0.0002865622351052765
110,0.00020440103483033712
111,0.00020440103483033712
112,0.00020640496654436002
113,0.00017434205911999343
114,0.00014428308340964973
115,9.017692713103109e-05
116,6.412581484873322e-05
117,3.607077085241243e-05
118,2.2043248854252044e-05
119,3.607077085241243e-05
